id,obiskali,zelijo
9059,193,1227
10156,132,1221
7892,1053,1221
15010,585,1223
12740,88,1221
4117,1254,1220
1508,896,1217
538,2474,1223
1056,272,1218
725,407,1220
28889,174,1218
5827,540,1217
8361,209,1215
25551,157,1216
8981,1120,1214
1189,419,1212
4689,279,1213
4421,80,1216
3276,1297,1219
5335,451,1215
2430,155,1213
20246,254,1211
15307,318,1210
10894,1127,1211
3301,232,1211
759,110,1212
14123,360,1212
716,374,1212
6686,1038,1210
1864,564,1213
6823,136,1207
992,486,1207
774,192,1209
16773,350,1210
2874,219,1206
5616,826,1205
9662,294,1206
1310,1589,1205
395,441,1205
646,126,1202
4420,231,1206
3071,296,1202
5756,501,1198
10782,229,1199
7791,167,1195
2286,421,1197
1178,1203,1196
26486,191,1204
20770,129,1199
541,356,1196
3279,205,1199
18751,449,1200
2799,235,1194
848,2175,1190
16789,278,1195
13791,234,1192
2534,1653,1200
9983,800,1190
25475,147,1189
16018,573,1193
2726,822,1194
27412,284,1199
14364,261,1192
1618,1507,1190
22951,178,1188
14005,123,1189
19873,132,1187
12606,393,1185
12290,1711,1190
494,920,1189
19125,200,1184
30543,131,1188
12300,384,1182
8630,1194,1187
3816,1565,1185
664,958,1182
2381,216,1181
11107,209,1182
10120,301,1181
2630,263,1187
16494,219,1179
4234,362,1181
5785,857,1176
605,117,1175
4268,499,1176
20676,1497,1173
24224,324,1175
19025,204,1169
2989,364,1174
419,306,1172
5195,192,1172
17222,237,1173
4473,422,1168
24448,326,1169
9006,242,1169
8944,172,1167
8163,171,1166
12472,977,1170
8497,572,1168
19737,128,1160
22735,228,1163
7682,206,1159
5224,74,1159
1466,210,1157
6152,74,1162
6615,1317,1162
14533,308,1164
12314,102,1158
4385,217,1157
229,591,1164
1759,270,1160
13569,524,1154
12820,396,1158
2336,254,1163
11556,815,1154
1356,99,1157
859,528,1156
1378,94,1154
10337,326,1152
13709,341,1155
1833,103,1148
26171,127,1151
3041,1036,1151
17563,263,1152
5372,517,1148
27674,700,1148
15583,166,1147
14106,172,1148
12591,508,1147
12219,397,1149
22809,1052,1148
20527,298,1147
20431,242,1150
16349,142,1146
13380,189,1146
8298,746,1147
3080,199,1144
552,415,1146
12278,251,1145
994,106,1145
10445,205,1144
2703,360,1143
13809,165,1142
4525,1930,1141
29489,383,1148
14038,119,1141
16541,149,1141
13199,280,1143
9307,299,1139
3046,795,1140
2032,603,1140
2944,430,1143
232,1054,1142
19756,304,1138
1106,142,1137
25133,206,1137
6381,94,1136
7689,118,1135
1794,113,1135
25128,318,1138
8206,601,1132
3153,787,1131
15111,169,1138
27595,177,1131
5184,231,1127
12592,275,1131
11723,494,1129
1342,653,1130
11797,600,1127
8698,319,1126
4277,426,1124
20269,198,1130
14896,658,1124
22983,262,1128
12785,79,1123
4246,781,1124
27054,318,1130
24109,676,1123
6156,472,1119
10561,261,1120
8702,181,1121
2609,468,1125
4181,3368,1125
23341,330,1120
15538,253,1118
3152,586,1122
13511,1052,1122
14769,287,1117
1421,304,1114
27338,225,1116
26307,523,1123
2414,1059,1110
2576,307,1119
3022,617,1114
9755,379,1114
4338,1387,1112
2977,314,1112
19936,1447,1110
8920,1340,1111
8607,212,1110
1237,348,1111
9580,82,1108
850,507,1109
26429,199,1114
12326,394,1108
1053,136,1107
1240,454,1108
7906,145,1104
760,116,1110
1812,530,1108
13729,189,1101
5423,133,1102
5480,251,1103
21098,169,1106
20756,86,1105
5774,149,1098
5823,89,1102
19267,412,1096
6764,119,1097
17611,322,1097
11042,268,1103
9890,804,1097
2856,1039,1096
15973,236,1098
15780,281,1095
13295,1463,1097
7480,295,1097
6414,367,1100
25560,122,1097
15786,155,1095
4345,693,1091
2291,913,1099
1202,506,1095
22988,224,1094
22766,158,1096
926,176,1093
2321,510,1091
175,293,1096
27757,93,1095
21104,206,1092
161,466,1088
1699,707,1090
12099,500,1088
5794,233,1095
3638,876,1093
23213,47,1088
18013,173,1095
2138,224,1091
17772,248,1086
315,64,1084
15149,418,1082
4290,50,1084
24053,171,1085
25745,85,1085
23081,358,1088
18922,39,1082
6215,191,1087
2937,336,1089
1047,476,1080
7683,937,1080
9259,270,1082
5151,194,1084
11494,484,1085
9348,862,1081
800,298,1083
18032,201,1082
12927,511,1082
13048,458,1080
8321,223,1082
134,1169,1080
14948,319,1083
10409,81,1079
10115,1862,1079
16147,170,1078
8331,443,1075
5733,319,1083
21244,193,1076
13604,339,1079
9407,806,1075
19497,342,1077
2479,221,1075
20995,1076,1071
5768,258,1077
9616,924,1073
3265,542,1077
2617,890,1072
5030,391,1079
1782,966,1071
15487,269,1077
14413,964,1070
13300,391,1073
7608,148,1075
6452,636,1072
6208,160,1071
28050,192,1076
19060,158,1070
5775,262,1069
457,534,1076
13645,417,1067
15083,550,1071
11351,347,1075
1386,485,1069
28793,219,1069
20128,245,1066
18301,315,1070
2006,431,1068
17125,138,1065
10093,201,1067
6387,74,1072
23166,350,1069
28545,146,1065
17957,716,1062
17561,57,1065
17355,1659,1065
11571,1187,1067
2768,299,1068
16908,360,1064
24505,533,1067
20332,237,1067
18182,89,1067
243,1265,1060
340,101,1061
30074,201,1065
17479,684,1059
16100,614,1066
4694,193,1065
9090,723,1060
5476,294,1057
1783,274,1056
2879,181,1056
9590,112,1059
8305,571,1057
5650,489,1057
5143,335,1059
26410,172,1061
8525,646,1057
7176,174,1054
10627,232,1053
4472,2098,1055
1954,232,1057
2484,581,1056
26901,406,1055
16825,211,1053
9645,739,1052
8677,177,1053
2928,300,1055
8938,1566,1055
4260,343,1054
15986,785,1055
13428,275,1056
5742,1018,1055
3751,384,1053
533,703,1057
20658,1183,1049
6112,623,1053
30461,498,1056
13707,200,1052
13777,822,1052
13565,138,1049
5841,1695,1053
11481,334,1049
2579,665,1046
10701,597,1044
10095,767,1052
8204,2006,1044
530,638,1048
28697,415,1047
17789,371,1046
12534,95,1047
8943,133,1049
537,354,1044
1159,477,1045
13030,259,1043
942,1534,1040
20098,274,1044
17367,813,1041
16796,1023,1041
2214,190,1037
21369,822,1043
1727,306,1038
12155,236,1042
3072,427,1041
10191,307,1041
290,130,1036
25132,217,1041
16846,133,1036
13335,128,1039
11083,335,1037
285,885,1035
12620,316,1037
8636,193,1037
20389,346,1036
10984,273,1037
485,474,1045
13965,991,1032
9232,220,1033
165,58,1034
26294,134,1030
4198,106,1031
14213,482,1032
3469,267,1034
4501,112,1031
14493,194,1028
14230,321,1031
5539,1667,1029
9891,255,1025
21523,284,1028
18207,121,1029
25707,558,1027
15645,107,1030
1372,155,1028
2057,1880,1027
24279,278,1028
12563,172,1022
6775,354,1031
6305,463,1024
5104,268,1025
24835,471,1024
9151,250,1022
9378,363,1025
23693,306,1025
5871,464,1026
1101,242,1027
14176,308,1024
11125,281,1021
6793,1236,1023
6286,673,1025
1404,327,1020
16803,150,1022
12140,341,1019
3872,270,1018
26393,257,1020
11730,72,1020
1156,212,1018
10126,388,1021
8764,282,1019
1665,835,1017
16225,346,1018
11520,686,1018
21973,629,1016
17647,514,1016
17187,261,1016
10954,547,1018
10343,101,1021
2391,154,1020
21869,272,1015
8909,53,1014
15223,733,1017
2109,1426,1015
1543,417,1014
2853,481,1019
9160,765,1017
1777,179,1012
8354,197,1018
7717,178,1012
4900,249,1015
1953,658,1013
24538,117,1014
12963,522,1008
15423,133,1011
2877,208,1010
9822,199,1007
31163,177,1011
18912,509,1013
5546,696,1010
3750,310,1009
2913,553,1007
4024,364,1008
2871,102,1006
30231,197,1003
7579,116,1008
8332,659,1002
3154,311,1006
12274,260,1006
3066,321,1004
26046,707,1004
2468,195,1007
534,280,1005
13306,1789,1002
12047,153,1002
8694,662,1008
3030,477,1003
334,336,1000
411,307,1001
341,472,1005
26600,83,999
19691,686,1004
9543,308,1002
7629,288,1004
377,36,1000
14252,1202,1000
615,254,999
22405,452,994
20577,160,996
9759,730,1000
5793,165,994
9475,225,997
15764,1008,1000
14507,277,995
3585,1643,999
26741,100,997
17022,326,994
15580,162,998
8549,319,994
28128,89,993
19342,302,993
9562,319,994
17303,292,990
5411,858,991
7243,101,992
808,572,998
35172,307,996
12038,961,990
6183,618,992
1976,299,991
247,511,988
16885,443,987
2416,466,987
26483,397,993
12240,749,992
8880,396,991
1983,342,990
3300,104,987
3056,120,983
11988,370,989
4550,183,984
3741,349,992
24435,258,988
19409,1458,989
852,102,988
5543,332,984
25641,147,986
1497,720,986
25572,501,982
21083,158,981
16834,594,984
6227,111,983
12345,191,990
11811,167,982
2784,422,982
19199,313,980
11533,801,979
4739,2165,985
24830,175,982
13421,492,978
11640,197,977
4616,711,979
1854,283,983
21468,126,978
16891,231,978
19297,1243,978
9290,260,974
8810,704,976
30664,177,975
9901,295,976
3856,439,977
20834,1286,974
18173,369,974
1389,78,972
7060,153,970
10233,810,971
3859,201,976
14014,1094,971
21003,79,972
10684,252,968
20651,155,968
10835,445,972
8899,851,973
16628,229,968
13549,1067,974
22003,99,968
14475,562,970
28859,261,972
23573,195,965
950,378,965
804,143,964
2886,208,967
18598,2274,966
14930,196,964
1736,216,965
30183,242,968
2680,73,963
408,595,961
11444,248,964
10056,398,966
9472,180,959
6648,233,963
944,950,959
17002,329,962
3044,378,958
1002,274,960
17459,443,959
8978,939,960
5594,518,959
4772,282,957
19061,232,955
17370,541,962
1375,387,960
13035,394,954
15428,374,956
10525,349,957
5754,647,956
1055,914,952
28281,132,955
11697,295,955
5383,229,954
3935,324,950
26215,199,953
11958,255,954
158,426,953
1669,150,951
3568,79,948
2875,107,951
305,872,949
2621,2875,951
6613,211,953
8615,223,952
4388,353,948
2555,1791,948
20225,577,949
19803,149,952
10829,247,955
5752,326,950
8317,566,948
1377,258,949
26416,270,951
20278,550,956
16003,474,948
3923,939,946
22931,74,946
18047,108,944
2980,177,949
2192,165,946
7955,808,944
5148,41,944
8757,321,945
19256,90,942
17944,189,945
12450,218,939
4476,162,946
25748,206,945
20197,274,942
9919,156,955
2670,898,945
5054,420,942
16563,178,942
12386,228,941
5077,2671,942
9441,275,945
11574,288,937
563,331,939
11645,1276,938
8618,171,938
14575,276,938
1275,189,935
27608,115,940
14719,51,939
6173,199,938
22761,95,938
18458,302,937
2981,155,934
19890,109,938
8288,377,935
6322,230,937
570,417,936
623,144,936
1098,2450,934
7635,247,934
2285,435,935
19650,190,936
15250,297,933
5735,211,934
2933,182,934
20044,522,935
19562,952,937
19104,676,934
17428,884,930
2758,108,934
951,71,930
24916,214,935
13232,855,930
9905,1033,934
9885,356,930
9733,899,933
1005,475,928
10097,231,932
151,189,931
6242,1222,929
313,177,928
6738,101,926
4813,119,929
30955,118,928
183,332,929
12535,117,925
6657,848,927
11338,629,924
9325,332,926
1896,134,928
31974,130,931
5937,129,925
17024,413,925
11301,144,923
901,248,922
3570,525,925
5779,882,923
5319,758,922
1365,172,920
13577,226,926
1977,415,919
28089,71,922
16968,429,922
11812,246,921
28811,263,924
25249,42,919
16735,182,921
16570,215,919
13681,324,921
2199,1194,921
27222,24,919
25161,430,922
23955,286,921
19206,218,920
1520,270,919
23633,168,917
21360,1195,916
14713,111,920
6744,33,914
3950,340,918
21681,846,918
18757,77,916
17527,346,917
8093,1070,914
1328,248,913
22923,267,916
21705,181,912
4361,380,912
26590,317,917
15905,490,914
1270,150,919
15269,237,913
12322,85,909
1220,840,912
29067,211,912
12258,1401,913
11091,1106,915
179,66,911
13966,131,909
2167,396,907
4944,852,909
1967,143,908
32481,135,914
18715,1315,911
17427,505,908
14888,996,917
12303,73,907
4498,336,912
5114,284,906
15962,420,909
24665,291,910
17627,1971,904
14933,218,902
12429,283,904
9857,185,899
23668,180,902
19189,1428,902
13460,315,901
3189,377,903
24113,185,907
19836,138,905
6380,605,898
5721,283,902
5049,263,901
31754,169,898
17532,1480,903
4749,131,902
23710,161,898
17270,128,898
14779,461,902
8805,699,900
16980,2572,900
14401,1127,902
11314,287,893
11453,214,897
1805,504,897
4615,195,893
1458,748,894
3516,58,895
10610,556,896
6250,114,895
24573,382,897
18246,381,893
13162,111,895
11937,230,900
11174,1133,893
10367,136,898
263,264,894
16157,155,891
11616,561,894
7746,161,889
5384,57,892
22239,168,892
14130,50,890
6417,170,895
5348,250,892
21618,368,890
8291,317,889
2872,286,890
28305,358,892
2773,257,887
1924,288,887
17425,399,885
11849,608,888
11831,241,884
5215,344,893
26218,251,896
29089,116,884
329,13,885
18628,116,885
13408,867,889
12521,133,885
12003,617,888
11521,251,884
24812,377,882
10753,251,884
2272,744,887
1039,518,884
33229,300,883
23051,114,885
17945,183,884
5545,195,885
28453,392,886
2541,945,882
1605,320,884
1962,126,887
20859,1220,881
16656,88,878
16015,168,880
15696,473,879
15550,909,885
8063,299,886
29531,281,884
11846,19,879
6912,86,878
21022,603,876
15649,407,877
4514,684,878
1041,957,877
26143,239,875
13437,115,874
13397,28,873
10647,3794,875
7023,501,874
1597,408,874
26465,106,876
24063,183,873
9004,607,877
6841,652,873
5542,235,873
9419,492,873
12341,324,872
16673,296,875
12693,496,874
10054,720,877
4966,197,874
322,572,877
5188,299,873
28086,109,878
23373,212,873
7486,147,874
14046,225,872
13051,200,879
740,414,869
8726,577,869
24975,245,871
5605,31,866
11548,168,867
2710,291,868
420,236,870
5895,516,867
16219,374,868
8193,358,867
10956,139,868
7086,222,868
5661,81,869
3150,723,866
1709,154,869
14167,111,867
11594,221,870
10707,261,863
10144,700,865
4708,833,868
736,532,865
22376,400,866
2259,516,862
8123,300,862
3073,393,867
1873,590,864
30554,177,872
17032,196,867
9253,204,864
8224,145,862
14386,441,859
14129,226,864
14079,210,867
13886,72,862
10484,144,865
2131,366,862
4755,886,860
13227,111,860
1577,445,862
24446,306,860
